,year,NumChild,PG,MA
0,1979,0,283.333333333,61
1,1979,1,375.0,112
2,1979,2,466.666666667,161
3,1979,3,558.333333333,204
4,1979,4,650.0,242
5,1980,0,315.833333333,63
6,1980,1,417.5,115
7,1980,2,519.166666667,165
8,1980,3,620.833333333,209
9,1980,4,722.5,248
10,1981,0,359.166666667,70
11,1981,1,474.166666667,128
12,1981,2,589.166666667,183
13,1981,3,704.166666667,233
14,1981,4,819.166666667,277
15,1982,0,390.0,71
16,1982,1,518.333333333,131
17,1982,2,646.666666667,187
18,1982,3,775.0,238
19,1982,4,903.333333333,283
20,1983,0,405.0,75
21,1983,1,545.0,139
22,1983,2,685.0,199
23,1983,3,825.0,253
24,1983,4,965.0,300
25,1984,0,415.0,77
26,1984,1,560.0,140
27,1984,2,705.0,201
28,1984,3,850.0,256
29,1984,4,995.0,304
30,1985,0,437.5,79
31,1985,1,587.5,146
32,1985,2,737.5,209
33,1985,3,887.5,265
34,1985,4,1037.5,314
35,1986,0,446.666666667,80
36,1986,1,603.333333333,148
37,1986,2,760.0,212
38,1986,3,916.666666667,269
39,1986,4,1073.33333333,319
40,1987,0,458.333333333,82
41,1987,1,616.666666667,151
42,1987,2,775.0,217
43,1987,3,933.333333333,275
44,1987,4,1091.66666667,327
45,1988,0,480.833333333,88
46,1988,1,644.166666667,161
47,1988,2,807.5,230
48,1988,3,970.833333333,293
49,1988,4,1134.16666667,347
50,1989,0,498.333333333,92
51,1989,1,668.333333333,169
52,1989,2,838.333333333,242
53,1989,3,1008.33333333,308
54,1989,4,1178.33333333,365
55,1990,0,523.333333333,101
56,1990,1,701.666666667,185
57,1990,2,880.0,264
58,1990,3,1058.33333333,336
59,1990,4,1236.66666667,399
60,1991,0,551.666666667,107
61,1991,1,740.0,196
62,1991,2,928.333333333,281
63,1991,3,1116.66666667,357
64,1991,4,1305.0,424
65,1992,0,567.5,111
66,1992,1,765.833333333,203
67,1992,2,964.166666667,292
68,1992,3,1162.5,370
69,1992,4,1360.83333333,440
70,1993,0,580.833333333,111
71,1993,1,785.833333333,204
72,1993,2,990.833333333,293
73,1993,3,1195.83333333,371
74,1993,4,1400.83333333,442
75,1994,0,613.333333333,113
76,1994,1,820.0,208
77,1994,2,1026.66666667,297
78,1994,3,1233.33333333,378
79,1994,4,1440.0,449
80,1995,0,622.5,116
81,1995,1,835.833333333,214
82,1995,2,1049.16666667,306
83,1995,3,1262.5,389
84,1995,4,1475.83333333,462
85,1996,0,645.0,119
86,1996,1,863.333333333,219
87,1996,2,1081.66666667,314
88,1996,3,1300.0,398
89,1996,4,1518.33333333,473
90,1997,0,657.5,121
91,1997,1,884.166666667,221
92,1997,2,1110.83333333,317
93,1997,3,1337.5,402
94,1997,4,1564.16666667,478
95,1998,0,670.833333333,123
96,1998,1,904.166666667,226
97,1998,2,1137.5,323
98,1998,3,1370.83333333,411
99,1998,4,1604.16666667,488
100,1999,0,686.666666667,126
101,1999,1,921.666666667,231
102,1999,2,1156.66666667,331
103,1999,3,1391.66666667,421
104,1999,4,1626.66666667,499
105,2000,0,695.833333333,128
106,2000,1,937.5,235
107,2000,2,1179.16666667,337
108,2000,3,1420.83333333,428
109,2000,4,1662.5,508
110,2001,0,715.833333333,131
111,2001,1,967.5,241
112,2001,2,1219.16666667,345
113,2001,3,1470.83333333,439
114,2001,4,1722.5,521
115,2002,0,738.333333333,136
116,2002,1,995.0,250
117,2002,2,1251.66666667,359
118,2002,3,1508.33333333,455
119,2002,4,1765.0,541
120,2003,0,748.333333333,140
121,2003,1,1010.0,257
122,2003,2,1271.66666667,367
123,2003,3,1533.33333333,467
124,2003,4,1795.0,555
125,2004,0,775.833333333,143
126,2004,1,1040.83333333,263
127,2004,2,1305.83333333,377
128,2004,3,1570.83333333,478
129,2004,4,1835.83333333,568
130,2005,0,797.5,150
131,2005,1,1069.16666667,275
132,2005,2,1340.83333333,395
133,2005,3,1612.5,501
134,2005,4,1884.16666667,594
135,2006,0,816.666666667,153
136,2006,1,1100.0,280
137,2006,2,1383.33333333,401
138,2006,3,1666.66666667,509
139,2006,4,1950.0,605
140,2007,0,850.833333333,157
141,2007,1,1140.83333333,288
142,2007,2,1430.83333333,413
143,2007,3,1720.83333333,524
144,2007,4,2010.83333333,622
145,2008,0,866.666666667,166
146,2008,1,1166.66666667,304
147,2008,2,1466.66666667,435
148,2008,3,1766.66666667,554
149,2008,4,2066.66666667,657
150,2009,0,902.5,194
151,2009,1,1214.16666667,356
152,2009,2,1525.83333333,510
153,2009,3,1837.5,648
154,2009,4,2149.16666667,769
155,2010,0,902.5,200
156,2010,1,1214.16666667,367
157,2010,2,1525.83333333,526
158,2010,3,1837.5,668
159,2010,4,2149.16666667,793
160,2011,0,907.5,200
161,2011,1,1225.83333333,367
162,2011,2,1544.16666667,526
163,2011,3,1862.5,668
164,2011,4,2180.83333333,793
165,2012,0,930.833333333,200
166,2012,1,1260.83333333,367
167,2012,2,1590.83333333,526
168,2012,3,1920.83333333,668
169,2012,4,2250.83333333,793
170,2013,0,957.5,198
171,2013,1,1292.5,364
172,2013,2,1627.5,521
173,2013,3,1962.5,662
174,2013,4,2297.5,786
175,2014,0,972.5,190
176,2014,1,1310.83333333,350
177,2014,2,1649.16666667,501
178,2014,3,1987.5,636
179,2014,4,2325.83333333,755
